density_m^-3,case_directory,n_particles,time_end_ns,fraction_Kperp_le_10eV_at_end,P50_Kperp_end_eV,P90_Kperp_end_eV,P95_Kperp_end_eV,mean_Ktotal_end_eV,std_Ktotal_end_eV,fraction_t10_reached,P50_t10_ns_reached_only,P90_t10_ns_reached_only,P90_t10_ns_censored_at_100,phaseA_accept_P90_Kperp_le_10
1e+23,tables\centered\cooling_scan_final\n_1e23,500,100.00000000000003,0.0,83249.99166323041,89253.392869417,90554.52737536392,84025.29509875552,4668.163657316181,0.0,nan,nan,100.00000000000003,False
2e+23,tables\centered\cooling_scan_final\n_2e23,500,100.00000000000003,0.0,68489.61827038278,73871.94735760418,75068.54420619307,69127.30949455431,4233.14308104322,0.0,nan,nan,100.00000000000003,False
3e+23,tables\centered\cooling_scan_final\n_3e23,500,100.00000000000003,0.0,55165.58413795661,59942.98822518516,61166.23223081509,55682.96432077514,3798.136062394507,0.0,nan,nan,100.00000000000003,False
5e+23,tables\centered\cooling_scan_final\n_5e23,500,100.00000000000003,0.0,32948.29292455139,36476.19593914445,37536.42715198034,33161.61739580013,2928.449635709513,0.0,nan,nan,100.00000000000003,False
8e+23,tables\centered\cooling_scan_final\n_8e23,500,100.00000000000003,0.0,10228.324718329874,12218.72818403896,12785.236618958861,10280.311898896058,1624.5899116828564,0.0,nan,nan,100.00000000000003,False
1e+24,tables\centered\cooling_scan_final\n_1e24,500,100.00000000000003,0.0,2258.2266577776545,3217.606865182636,3504.8244024293626,2290.6341197714605,757.3867970271226,0.0,nan,nan,100.00000000000003,False
1.2e+24,tables\centered\cooling_scan_final\n_1p2e24,500,100.00000000000003,0.882,1.2138864531739967e-06,12.941508238975025,41.913276063849935,6.828312781135214,24.449643920014154,0.882,96.66776560202806,99.2581597087757,100.00000000000003,False
1.5e+24,tables\centered\cooling_scan_final\n_1p5e24,500,100.00000000000003,1.0,7.9698012522355545e-19,1.4992705092216393e-18,1.5400298411876984e-18,1.080952948318982e-07,1.0844545379046654e-06,1.0,77.72745576605175,80.08435795386352,80.08435795386352,True
